ABIN,آبین
HEPARSA,حپارسا
HEPETRO,حپترو
HERAHSHA,حرهشا
HEREYL,حریل
HESEYR,حسیر
HESINA,حسینا
HETAYD,حتاید
HETOOKA,حتوکا
HIWEB,های وب
HORMOZ,هرمز
JAHROM,جهرم
JAM,جم
JAMPILEN,جم پیلن
KALA,کالا
KASPIAN,کاسپین
KAVEH,کاوه
KAVIR,کویر
KAZERO,کازرو
KBC,کی بی سی
KEABGEN,کابگن
KEAMA,کاما
KEAZAR,کاذر
KEBADE,کباده
KEBAFGH,کبافق
KECERA,کسرا
KECHAD,کچاد
KECHINI,کچینی
KEDAMA,کدما
KEFARAVAR,کفرآور
KEFPARS,کفپارس
KEFRA,کفرا
KEGAZ,کگاز
KEGHAZVI,کقزوی
KEGOHAR,کگهر
KEGOL,کگل
KEHAFEZ,کحافظ
KEHAMEDA,کهمدا
KEHRAM,کهرام
KEIGACH,كايگچ
KEISFA,كاصفا
KEISON,کیسون
KEITA,کایتا
KEKHAK,کخاک
KELVAND,کلوند
KEMANGANEZ,کمنگنز
KEMARJAN,کمرجان
KEMASEH,کماسه
KEMINA,کمینا
KENILOO,کنیلو
KENOOR,کنور
KEPARS,کپارس
KEPARVAR,کپرور
KEPSHIR,کپشیر
KERAZI,کرازی
KERMAN,کرمان
KERMASHA,کرماشا
KEROOY,کروی
KESADAF,کصدف
KESADI,کسعدی
KESAPA,کساپا
KESAVEH,کساوه
KESERAM,کسرام
KESHARGH,کشرق
KETABAS,کطبس
KETOOKA,کتوکا
KETRAM,کترام
KHAHAN,خاهن
KHAVAR,خاور
KHAZIN,خاذین
KHBAHMAN,خبهمن
KHBAZRES,خبازرس
KHCHARKESH,خچرخش
KHDIZEL,خدیزل
KHEFOOLA,خفولا
KHELENT,خلنت
KHEOMRA,خعمرا
KHESADRA,خصدرا
KHETOGHA,ختوقا
KHFANAR,خفنر
KHFANAVAR,خفناور
KHGOSTAR,خگستر
KHKAR,خکار
KHKASHA,خكاشا
KHKAVEH,خکاوه
KHKERMAN,خکرمان
KHKOMAK,خکمک
KHMEHR,خمهر
KHMEHVAR,خمحور
KHMOHAREKE,خمحرکه
KHMOTOR,خموتور
KHNASIR,خنصیر
KHODKAFA,خودکفا
KHODRO,خودرو
KHORASAN,خراسان
KHOSAZ,خوساز
KHPARS,خپارس
KHPOYESH,خپویش
KHRIKHT,خریخت
KHRING,خرینگ
KHSAPA,خساپا
KHSHARGH,خشرق
KHTOUR,ختور
KHTRAK,ختراک
KHZAMYA,خزامیا
KHZAR,خزر
KIMIA,کیمیا
KOLOR,کلر
KOSAR,کوثر
LEABSA,لابسا
LEAZMA,لازما
LEBOTAN,لبوتان
LEKEMA,لکما
LEKHANE,لخانه
LEKHAZAR,لخزر
LEPARS,لپارس
LEPAYAM,لپیام
LESARMA,لسرما
LOTUS,لوتوس
MA,ما
MADARAN,مداران
MADIRA,مادیرا
MAFAKHER,مفاخر
MAMASANI,ممسنی
MARGHAM,مرقام
MAROON,مارون
MELAT,ملت
MEYAR,معیار
MIDKO,میدکو
MIHAN,میهن
MOBIN,مبین
NEBORUJ,نبروج
NEMRINO,نمرینو
NETOUS,نتوس
NETRIN,نطرین
NIROO,نیرو
NOORI,نوری
NOVIN,نوین
OFOGH,افق
OMID,امید
PAKHSH,پخش
PAKSHOO,پاکشو
PARDAKHT,پرداخت
PARDIS,پردیس
PARS,پارس
PARSAN,پارسان
PARSIAN,پارسیان
PEARTA,پارتا
PEASA,پاسا
PEDERAKHSH,پدرخش
PEKAVIR,پکویر
PEKERMAN,پکرمان
PELASK,پلاسک
PELAST,پلاست
PELOLEH,پلوله
PESAHAND,پسهند
PESHAHEN,پشاهن
PETIRE,پتایر
PETROL,پترول
REANFOR,رانفور
REFAH,رفاه
REKISH,رکیش
REMAPNA,رمپنا
RENIK,رنیک
RETAKO,رتکو
RETAP,رتاپ
RISHMAK,ریشمک
SAAMAAN,سامان
SABA,صبا
SABAD,ثاباد
SAINA,ساینا
SAJAN,ثاژن
SAKHT,ثاخت
SAMAN,ثامان
SARCHESHME,سرچشمه
SAVE,ساوه
SEALVAND,ثالوند
SEASFA,ثاصفا
SEBAGH,ثباغ
SEDABIR,سدبیر
SEETEMA,ثعتما
SEFARS,ثفارس
SEGHARB,ثغرب
SEGHAZVI,ثقزوی
SEJAVAN,ثجوان
SEMASKAN,ثمسکن
SEMAYEH,سمایه
SEMEGA,سمگا
SENAM,ثنام
SENEZAM,ثنظام
SENOOR,ثنور
SENOSA,ثنوسا
SENOVIN,سنوین
SEOMRA,ثعمرا
SEP,سپ
SEPARDIS,ثپردیس
SEPORDE,سپرده
SEROOD,ثرود
SESHAHED,ثشاهد
SESHARGH,ثشرق
SETOOSA,ثتوسا
SETRAN,ثتران
SEZAGROS,ثزاگرس
SHABRIZ,شبریز
SHAFA,شفا
SHAMLA,شاملا
SHAPDIS,شپدیس
SHAPNA,شپنا
SHARAK,شاراک
SHASTA,شستا
SHAVAN,شاوان
SHBANDAR,شبندر
SHBASIR,شبصیر
SHBEHRAN,شبهرن
SHDOOS,شدوص
SHEJAM,شجم
SHELIA,شلیا
SHESAKHT,شساخت
SHETEHRAN,شتهران
SHETRAN,شتران
SHFAN,شفن
SHFARA,شفارا
SHFARS,شفارس
SHEGHADIR,شغدیر
SHGOL,شگل
SHGOOYA,شگویا
SHIRAN,شیران
SHIRAZ,شیراز
SHKABIR,شکبیر
SHKAF,شکف
SHKARBON,شکربن
SHKHARK,شخارک
SHKOLOR,شکلر
SHLEAB,شلعاب
SHLORD,شلرد
SHMAVAD,شمواد
SHNAFT,شنفت
SHOOYANDE,شوینده
SHPAKSA,شپاکسا
SHPAMCHA,شپمچا
SHPARS,شپارس
SHPAS,شپاس
SHPETRO,شپترو
SHPOLI,شپلی
SHRANGI,شرنگی
SHRANOL,شرانل
SHRAZ,شراز
SHSADAF,شصدف
SHSAM,شسم
SHSFAHA,شصفها
SHSINA,شسینا
SHSPA,شسپا
SHSTAN,شستان
SHTOOKA,شتوکا
SHTOOLI,شتولی
SHVASH,شوش
SHZANG,شزنگ
SIMORGH,سیمرغ
SYSTEM,سیستم
TABA,تابا
TABAROK,تبرک
TAKNAR,تکنار
TALISE,تلیسه
TAPIKO,تاپیکو
TASIKO,تاصیکو
TECNO,تکنو
TECOMBA,تکمبا
TECSHA,تکشا
TEFIROO,تفیرو
TEMOHAREKE,تمحرکه
TEPCO,تپکو
TEPOMPES,تپمپس
TEPUMPI,تپمپی
TERAK,تراك
TESHTAD,تشتاد
TIPIKO,تیپیکو
TIRA,تایرا
TMELAT,تملت
TNOVIN,تنوین
TOPKISH,تاپکیش
TOREYL,توریل
TOSEEH,توسعه
TPOULA,تپولا
VAADAK,وآداك
VAAFARI,وآفری
VAAHSA,واحصا
VAANSAR,وانصار
VAARAS,وارس
VAARIYAN,وآرین
VAATI,واتی
VAATOS,وآتوس
VAAVA,وآوا
VAAYAND,وآیند
VABAHMAN,وبهمن
VABANK,وبانک
VABARGH,وبرق
VABEMELAT,وبملت
VABESADER,وبصادر
VABESHAHR,وبشهر
VABIMEH,وبیمه
VABOALI,وبوعلی
VADANA,ودانا
VADEY,ودی
VAEHYA,واحیا
VAETEBAR,واعتبار
VAGARDESH,وگردش
VAGHADIR,وغدیر
VAGHAVAM,وقوام
VAGOSTAR,وگستر
VAHAFEZ,وحافظ
VAHEKMAT,وحکمت
VAHONAR,وهنر
VAHOOR,وهور
VAIRA,وایرا
VAIRAN,وایران
VAJAMI,وجامی
VAKADO,وکادو
VAKAR,وکار
VAKHARAZM,وخارزم
VAKHAVAR,وخاور
VAKOSAR,وکوثر
VALANA,ولانا
VALBER,والبر
VALEBAHMAN,ولبهمن
VALEMELLAT,ولملت
VALERAZ,ولراز
VALESANAM,ولصنم
VALESAPA,ولساپا
VALESHARGH,ولشرق
VALGHADR,ولغدر
VALIZ,ولیز
VALTOJAR,ولتجار
VAMAADEN,ومعادن
VAMEHAN,ومهان
VAMEHR,ومهر
VAMELAL,وملل
VAMELAT,وملت
VAMELLI,وملی
VAMOALEM,ومعلم
VAMOSHAN,ومشان
VANAFT,ونفت
VANIKI,ونیکی
VANIROO,ونیرو
VANOVIN,ونوین
VAOMID,وامید
VAPAKHSH,وپخش
VAPARS,وپارس
VAPASAR,وپاسار
VAPETRO,وپترو
VAPOST,وپست
VAPSA,وپسا
VARAZI,ورازی
VARENA,ورنا
VARIZAN,ورزيران‌
VASADID,وسدید
VASAKAB,وسکاب
VASAKHOZ,وثخوز
VASAKHT,وساخت
VASALAT,وسالت
VASANA,وسنا
VASANAT,وصنعت
VASANDOGH,وصندوق
VASANO,وثنو
VASAPA,وساپا
VASARMAD,وسرمد
VASEPAH,وسپه
VASHAHR,وشهر
VASHOMAL,وشمال
VASIN,وسین
VASINA,وسینا
VASNA,وصنا
VASOBHAN,وسبحان
VASOOGH,وثوق
VATAOVON,وتعاون
VATEJARAT,وتجارت
VATOOKA,وتوکا
VATOOS,وتوس
VATOOSHE,وتوشه
VATOSA,وتوصا
VATOSAM,وتوسم
VAZAMIN,وزمین
VEAZAR,وآذر
ZAGROS,زاگرس
ZANGAN,زنگان
ZANJAN,زنجان
ZEBINA,زبینا
ZEDASHT,زدشت
ZEFOKA,زفکا
ZEGHIAM,زقیام
ZEGOLDASHT,زگلدشت
ZEKESHT,زکشت
ZEKOSAR,زکوثر
ZEMAGSA,زمگسا
ZEMAHAN,زماهان
ZEPARS,زپارس
ZESHAGZA,زشگزا
ZESHARIF,زشریف
ZOB,ذوب
PEYAZD,پیزد
ARIYA,آریا
VAPOOYA,وپویا
CITA,سیتا
VALEPARS,ولپارس
REAFZA,رافزا
ABADA,آبادا
GHEZAR,غزر
BEGILAN,بگیلان
AMIN,امین
SHEOROUM,شاروم
SEBEHSAZ,ثبهساز
ZEMALARD,زملارد
VASEKHORAJ,وسخراج
GEDENA,گدنا
BEPEYVAND,بپیوند
SEOMID,ثامید
TMAVAND,تماوند
VASEKHORASH,وسخراش
VASEGHOM,وسقم
VASEPEHR,وسپهر
VASEMARKAZ,وسمرکز
VASEZANJAN,وسزنجان
VASARBIL,وساربیل
VASEKORSHA,وسکرشا
VASEYLAM,وسیلام
VASEGOLESTA,وسگلستا
VASEBOUSHEHR,وسبوشهر
VASEYAZD,وسیزد
AFRAN,افران
AMINYEKOM,امین یکم
ARMAGHAN,ارمغان
ARZESH,ارزش
AYAR,عیار
BAZR,بذر
DARAYEKOM,دارا يکم
FIROOZA,فیروزا
FIROOZEH,فیروزه
GOHAR,گوهر
KAMAND,کمند
KARDAN,کاردان
KIAN,کیان
NARVAN,نارون
NEGIN,نگین
OFOGHMELLAT,افق ملت
PAARAND,پارند
SARV,سرو
SEPAR,سپر
SEPAS,سپاس
SSENOVIN,صنوین
TALAA,طلا
TASMIM,تصمیم
YAGHOOT,یاقوت
ZAR,زر
AGAS,آگاس
AKORD,آکورد
ALMAS,الماس
ARMANI,آرمانی
ASAS,آساس
ASAM,آسام
ASAMID,آساميد
ASHNATECH,آشناتک
ATI1,آتی1
ATIMES,آتیمس
ATLAS,اطلس
AVA,آوا
AVESTA,اوصتا
MODIR,مدیر
EETEMAD,اعتماد
DARA,دارا
KARIS,کاریس
SEKHAND,سخند
DARIC,داریک
DEMEEYAR,دمعیار
FANABA,فنابا
TEHRAN1,تهران1
GANJIN,گنجین
PARTIN,پارتین
NOAVAR,نوآور
ROOYESH,رویش
STARS,استارز
NASIM,نسیم
SSAYAND,صایند
SERVATAM,ثروتم
SSEGHARB,صغرب
VENTURE,ونچر
VASEKAHBOO,وسکهبو
KHATAM,خاتم
JOVIN,جوین
VASAGHARBI,وساغربی
VASEGILA,وسگیلا
VASEHAMEDA,وسهمدا
VASEKORD,وسکرد
VASELORESTA,وسلرستا
VASISTA,وسیستا
VASEKERMAN,وسکرمان
VASEKHOUZ,وسخوز
VASEMAZAN,وسمازن
VASESFA,وسصفا
POOYA,پويا
VASEFARS,وسفارس
VASERAZAVI,وسرضوی
CHEKHAZAR,چخزر
BUALI,بوعلی
VAKBAHMAN,وکبهمن
SERVAT,ثروت
PALAYESH,پالایش
VSARV,ویسرو
SEPIDAR,سپیدار
VASASHARGHI,وساشرقی
KARIN,کارین
FARDA,فردا
KEZOGHAL,کزغال
VABAZAR,وبازار
SAHARKHIZ,سحرخیز
ZARRIN,زرین
NAHAL,نهال
OPAL,اپال
FARAZ,فراز
SEPIDAMA,سپیدما
KHELIBL,خلیبل
SEHAM,ثهام
FEGOSTAR,فگستر
VASEHORMOZ,وسهرمز
PISHGAM,پیشگام
GHEKOUROSH,غکورش
VALOGHMAN,ولقمان
FETOSA,فتوسا
VALEKAR,ولکار
VAMODIR,ومدير
BARAN,باران
LATIF,لطیف
KAMYAB,کامیاب
FEKAMAND,فکمند
SINAD,سیناد
GNEGIN,گنگین
HOMAY,همای
KAMAN,کمان
SEPID,سپید
VAHAMOON,وهامون
MANI,مانی
PADA,پادا
PISHRAFT,پیشرفت
MODIRIAT,مدیریت
KAHROBA,کهربا
FEJAHAN,فجهان
FEOFOGH,فافق
FESABZEVAR,فسبزوار
GHETORBAT,قتربت
HEAFARIN,حآفرین
KIMIATEK,کیمیاتک
TOSAN,توسن
KHBONYAN,خبنیان
SHEKAM,شکام
AHROM,اهرم
ANAR,انار
ARAM,آرام
ASIATEK,آسیاتک
BEHIR,بهیر
CABIK,سابیک
CEGHADIR,سغدیر
DARYUSH,داریوش
DDAANA,ددانا
DORSA,درسا
FEROSIL,فروسیل
FEZAR,فزر
GANJINEH,گنجینه
GHENAB,غناب
GONBAD,گنبد
HAMERZ,هامرز
HAMVAZN,هم وزن
HEGARDESH,حگردش
HGOHAR,حگهر
HSHOKOUH,حشکوه
KARA,کارا
MESGHAL,مثقال
MORVARID,مروارید
NESHAN,نشان
OWJ,اوج
PADASH,پاداش
REMAS,رماس
SALAM,سلام
SAMIN,ثمین
SANAM,صنم
SEPEHR,سپهر
SOBAT,ثبات
SORIN,سورین
TAJALI,تجلی
TARAZ,تاراز
VAAFAR,وآفر
VAAMIN,وامین
VAAMIR,وامیر
VAFTEKHAR,وفتخار
VISA,ویسا
VISTA,ویستا
YARA,یارا
ZEYTOUN,زیتون
FEGHADIR,فغدیر
KAYAZD,کایزد
ROSHD,رشد
TFARS,تفارس
